Location,Labels
/ECG Dataset/ECG/Test/AF/0.png,1
/ECG Dataset/ECG/Train/SR/1.png,0
/ECG Dataset/ECG/Train/SR/2.png,0
/ECG Dataset/ECG/Train/AF/3.png,1
/ECG Dataset/ECG/Train/SR/4.png,0
/ECG Dataset/ECG/Test/SR/5.png,0
/ECG Dataset/ECG/Train/SR/6.png,0
/ECG Dataset/ECG/Train/AF/7.png,1
/ECG Dataset/ECG/Train/AF/8.png,1
/ECG Dataset/ECG/Train/SR/9.png,0
/ECG Dataset/ECG/Test/SR/10.png,0
/ECG Dataset/ECG/Train/SR/11.png,0
/ECG Dataset/ECG/Train/AF/12.png,1
/ECG Dataset/ECG/Train/AF/13.png,1
/ECG Dataset/ECG/Train/AF/14.png,1
/ECG Dataset/ECG/Test/SR/15.png,0
/ECG Dataset/ECG/Train/SR/16.png,0
/ECG Dataset/ECG/Train/SR/17.png,0
/ECG Dataset/ECG/Train/AF/18.png,1
/ECG Dataset/ECG/Train/SR/19.png,0
/ECG Dataset/ECG/Test/AF/20.png,1
/ECG Dataset/ECG/Train/AF/21.png,1
/ECG Dataset/ECG/Train/AF/22.png,1
/ECG Dataset/ECG/Train/SR/23.png,0
/ECG Dataset/ECG/Train/AF/24.png,1
/ECG Dataset/ECG/Test/SR/25.png,0
/ECG Dataset/ECG/Train/SR/26.png,0
/ECG Dataset/ECG/Train/AF/27.png,1
/ECG Dataset/ECG/Train/SR/28.png,0
/ECG Dataset/ECG/Train/SR/29.png,0
/ECG Dataset/ECG/Test/AF/30.png,1
/ECG Dataset/ECG/Train/SR/31.png,0
/ECG Dataset/ECG/Train/SR/32.png,0
/ECG Dataset/ECG/Train/AF/33.png,1
/ECG Dataset/ECG/Train/SR/34.png,0
/ECG Dataset/ECG/Test/AF/35.png,1
/ECG Dataset/ECG/Train/SR/36.png,0
/ECG Dataset/ECG/Train/AF/37.png,1
/ECG Dataset/ECG/Train/AF/38.png,1
/ECG Dataset/ECG/Train/SR/39.png,0
/ECG Dataset/ECG/Test/SR/40.png,0
/ECG Dataset/ECG/Train/SR/41.png,0
/ECG Dataset/ECG/Train/SR/42.png,0
/ECG Dataset/ECG/Train/AF/43.png,1
/ECG Dataset/ECG/Train/AF/44.png,1
/ECG Dataset/ECG/Test/SR/45.png,0
/ECG Dataset/ECG/Train/AF/46.png,1
/ECG Dataset/ECG/Train/SR/47.png,0
/ECG Dataset/ECG/Train/SR/48.png,0
/ECG Dataset/ECG/Train/SR/49.png,0
/ECG Dataset/ECG/Test/AF/50.png,1
/ECG Dataset/ECG/Train/SR/51.png,0
/ECG Dataset/ECG/Train/AF/52.png,1
/ECG Dataset/ECG/Train/SR/53.png,0
/ECG Dataset/ECG/Train/SR/54.png,0
/ECG Dataset/ECG/Test/SR/55.png,0
/ECG Dataset/ECG/Train/SR/56.png,0
/ECG Dataset/ECG/Train/SR/57.png,0
/ECG Dataset/ECG/Train/AF/58.png,1
/ECG Dataset/ECG/Train/AF/59.png,1
/ECG Dataset/ECG/Test/AF/60.png,1
/ECG Dataset/ECG/Train/SR/61.png,0
/ECG Dataset/ECG/Train/SR/62.png,0
/ECG Dataset/ECG/Train/SR/63.png,0
/ECG Dataset/ECG/Train/AF/64.png,1
/ECG Dataset/ECG/Test/SR/65.png,0
/ECG Dataset/ECG/Train/AF/66.png,1
/ECG Dataset/ECG/Train/AF/67.png,1
/ECG Dataset/ECG/Train/AF/68.png,1
/ECG Dataset/ECG/Train/SR/69.png,0
/ECG Dataset/ECG/Test/SR/70.png,0
/ECG Dataset/ECG/Train/SR/71.png,0
/ECG Dataset/ECG/Train/SR/72.png,0
/ECG Dataset/ECG/Train/AF/73.png,1
/ECG Dataset/ECG/Train/AF/74.png,1
/ECG Dataset/ECG/Test/SR/75.png,0
/ECG Dataset/ECG/Train/AF/76.png,1
/ECG Dataset/ECG/Train/SR/77.png,0
/ECG Dataset/ECG/Train/SR/78.png,0
/ECG Dataset/ECG/Train/AF/79.png,1
/ECG Dataset/ECG/Test/SR/80.png,0
/ECG Dataset/ECG/Train/SR/81.png,0
/ECG Dataset/ECG/Train/SR/82.png,0
/ECG Dataset/ECG/Train/SR/83.png,0
/ECG Dataset/ECG/Train/AF/84.png,1
/ECG Dataset/ECG/Test/AF/85.png,1
/ECG Dataset/ECG/Train/AF/86.png,1
/ECG Dataset/ECG/Train/SR/87.png,0
/ECG Dataset/ECG/Train/AF/88.png,1
/ECG Dataset/ECG/Train/SR/89.png,0
/ECG Dataset/ECG/Test/SR/90.png,0
/ECG Dataset/ECG/Train/SR/91.png,0
/ECG Dataset/ECG/Train/SR/92.png,0
/ECG Dataset/ECG/Train/SR/93.png,0
/ECG Dataset/ECG/Train/SR/94.png,0
/ECG Dataset/ECG/Test/SR/95.png,0
/ECG Dataset/ECG/Train/AF/96.png,1
/ECG Dataset/ECG/Train/SR/97.png,0
/ECG Dataset/ECG/Train/AF/98.png,1
/ECG Dataset/ECG/Train/SR/99.png,0
/ECG Dataset/ECG/Test/AF/100.png,1
/ECG Dataset/ECG/Train/SR/101.png,0
/ECG Dataset/ECG/Train/SR/102.png,0
/ECG Dataset/ECG/Train/SR/103.png,0
/ECG Dataset/ECG/Train/SR/104.png,0
/ECG Dataset/ECG/Test/AF/105.png,1
/ECG Dataset/ECG/Train/AF/106.png,1
/ECG Dataset/ECG/Train/AF/107.png,1
/ECG Dataset/ECG/Train/AF/108.png,1
/ECG Dataset/ECG/Train/SR/109.png,0
/ECG Dataset/ECG/Test/SR/110.png,0
/ECG Dataset/ECG/Train/SR/111.png,0
/ECG Dataset/ECG/Train/SR/112.png,0
/ECG Dataset/ECG/Train/AF/113.png,1
/ECG Dataset/ECG/Train/SR/114.png,0
/ECG Dataset/ECG/Test/AF/115.png,1
/ECG Dataset/ECG/Train/SR/116.png,0
/ECG Dataset/ECG/Train/SR/117.png,0
/ECG Dataset/ECG/Train/AF/118.png,1
/ECG Dataset/ECG/Train/AF/119.png,1
/ECG Dataset/ECG/Test/SR/120.png,0
/ECG Dataset/ECG/Train/AF/121.png,1
/ECG Dataset/ECG/Train/SR/122.png,0
/ECG Dataset/ECG/Train/SR/123.png,0
/ECG Dataset/ECG/Train/SR/124.png,0
/ECG Dataset/ECG/Test/AF/125.png,1
/ECG Dataset/ECG/Train/AF/126.png,1
/ECG Dataset/ECG/Train/SR/127.png,0
/ECG Dataset/ECG/Train/AF/128.png,1
/ECG Dataset/ECG/Train/AF/129.png,1
/ECG Dataset/ECG/Test/SR/130.png,0
/ECG Dataset/ECG/Train/AF/131.png,1
/ECG Dataset/ECG/Train/SR/132.png,0
/ECG Dataset/ECG/Train/AF/133.png,1
/ECG Dataset/ECG/Train/SR/134.png,0
/ECG Dataset/ECG/Test/AF/135.png,1
/ECG Dataset/ECG/Train/SR/136.png,0
/ECG Dataset/ECG/Train/SR/137.png,0
/ECG Dataset/ECG/Train/SR/138.png,0
/ECG Dataset/ECG/Train/AF/139.png,1
/ECG Dataset/ECG/Test/SR/140.png,0
/ECG Dataset/ECG/Train/SR/141.png,0
/ECG Dataset/ECG/Train/AF/142.png,1
/ECG Dataset/ECG/Train/SR/143.png,0
/ECG Dataset/ECG/Train/SR/144.png,0
/ECG Dataset/ECG/Test/SR/145.png,0
/ECG Dataset/ECG/Train/AF/146.png,1
/ECG Dataset/ECG/Train/AF/147.png,1
/ECG Dataset/ECG/Train/SR/148.png,0
/ECG Dataset/ECG/Train/SR/149.png,0
/ECG Dataset/ECG/Test/AF/150.png,1
/ECG Dataset/ECG/Train/AF/151.png,1
/ECG Dataset/ECG/Train/AF/152.png,1
/ECG Dataset/ECG/Train/AF/153.png,1
/ECG Dataset/ECG/Train/AF/154.png,1
/ECG Dataset/ECG/Test/AF/155.png,1
/ECG Dataset/ECG/Train/AF/156.png,1
/ECG Dataset/ECG/Train/SR/157.png,0
/ECG Dataset/ECG/Train/SR/158.png,0
/ECG Dataset/ECG/Train/SR/159.png,0
/ECG Dataset/ECG/Test/AF/160.png,1
/ECG Dataset/ECG/Train/SR/161.png,0
/ECG Dataset/ECG/Train/SR/162.png,0
/ECG Dataset/ECG/Train/AF/163.png,1
/ECG Dataset/ECG/Train/SR/164.png,0
/ECG Dataset/ECG/Test/SR/165.png,0
/ECG Dataset/ECG/Train/SR/166.png,0
/ECG Dataset/ECG/Train/SR/167.png,0
/ECG Dataset/ECG/Train/AF/168.png,1
/ECG Dataset/ECG/Train/SR/169.png,0
/ECG Dataset/ECG/Test/SR/170.png,0
/ECG Dataset/ECG/Train/SR/171.png,0
/ECG Dataset/ECG/Train/SR/172.png,0
/ECG Dataset/ECG/Train/SR/173.png,0
/ECG Dataset/ECG/Train/SR/174.png,0
/ECG Dataset/ECG/Test/SR/175.png,0
/ECG Dataset/ECG/Train/AF/176.png,1
/ECG Dataset/ECG/Train/SR/177.png,0
/ECG Dataset/ECG/Train/AF/178.png,1
/ECG Dataset/ECG/Train/SR/179.png,0
/ECG Dataset/ECG/Test/SR/180.png,0
/ECG Dataset/ECG/Train/AF/181.png,1
/ECG Dataset/ECG/Train/AF/182.png,1
/ECG Dataset/ECG/Train/AF/183.png,1
/ECG Dataset/ECG/Train/AF/184.png,1
/ECG Dataset/ECG/Test/SR/185.png,0
/ECG Dataset/ECG/Train/AF/186.png,1
/ECG Dataset/ECG/Train/AF/187.png,1
/ECG Dataset/ECG/Train/SR/188.png,0
/ECG Dataset/ECG/Train/AF/189.png,1
/ECG Dataset/ECG/Test/AF/190.png,1
/ECG Dataset/ECG/Train/AF/191.png,1
/ECG Dataset/ECG/Train/SR/192.png,0
/ECG Dataset/ECG/Train/AF/193.png,1
/ECG Dataset/ECG/Train/AF/194.png,1
/ECG Dataset/ECG/Test/AF/195.png,1
/ECG Dataset/ECG/Train/AF/196.png,1
/ECG Dataset/ECG/Train/SR/197.png,0
/ECG Dataset/ECG/Train/SR/198.png,0
/ECG Dataset/ECG/Train/SR/199.png,0
/ECG Dataset/ECG/Test/AF/200.png,1
/ECG Dataset/ECG/Train/SR/201.png,0
/ECG Dataset/ECG/Train/SR/202.png,0
/ECG Dataset/ECG/Train/SR/203.png,0
/ECG Dataset/ECG/Train/AF/204.png,1
/ECG Dataset/ECG/Test/SR/205.png,0
/ECG Dataset/ECG/Train/SR/206.png,0
/ECG Dataset/ECG/Train/SR/207.png,0
/ECG Dataset/ECG/Train/SR/208.png,0
/ECG Dataset/ECG/Train/AF/209.png,1
/ECG Dataset/ECG/Test/SR/210.png,0
/ECG Dataset/ECG/Train/SR/211.png,0
/ECG Dataset/ECG/Train/SR/212.png,0
/ECG Dataset/ECG/Train/SR/213.png,0
/ECG Dataset/ECG/Train/AF/214.png,1
/ECG Dataset/ECG/Test/AF/215.png,1
/ECG Dataset/ECG/Train/SR/216.png,0
/ECG Dataset/ECG/Train/AF/217.png,1
/ECG Dataset/ECG/Train/SR/218.png,0
/ECG Dataset/ECG/Train/SR/219.png,0
/ECG Dataset/ECG/Test/SR/220.png,0
/ECG Dataset/ECG/Train/SR/221.png,0
/ECG Dataset/ECG/Train/SR/222.png,0
/ECG Dataset/ECG/Train/AF/223.png,1
/ECG Dataset/ECG/Train/AF/224.png,1
/ECG Dataset/ECG/Test/SR/225.png,0
/ECG Dataset/ECG/Train/SR/226.png,0
/ECG Dataset/ECG/Train/AF/227.png,1
/ECG Dataset/ECG/Train/SR/228.png,0
/ECG Dataset/ECG/Train/SR/229.png,0
/ECG Dataset/ECG/Test/AF/230.png,1
/ECG Dataset/ECG/Train/SR/231.png,0
/ECG Dataset/ECG/Train/SR/232.png,0
/ECG Dataset/ECG/Train/AF/233.png,1
/ECG Dataset/ECG/Train/AF/234.png,1
/ECG Dataset/ECG/Test/SR/235.png,0
